nomAttribuant;idAttribuant;dateConvention;referenceDecision;nomBeneficiaire;idBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
Ville de Toulouse;21310555400017;;;CENTRE INFORMATION SUR DROITS FEMMES ET FAMILLES HAUTE GARONNE;31349910500010;Subvention de Fonctionnement;29570.0;aide en numéraire;échelonné;2017-11-21;;non;1
Ville de Toulouse;21310555400017;;;CENTRE TOULOUSAIN DU BENEVOLAT;44916660200010;Subvention de Fonctionnement;550.0;aide en numéraire;unique;2017-07-06;;non;1
Ville de Toulouse;21310555400017;;;CERCLE PECH DAVID ASSOC;39061030100017;Subvention de Fonctionnement;55965.5;aide en numéraire;échelonné;2017-09-25;;non;1
Ville de Toulouse;21310555400017;;;CINEMA ABC;77691890600012;Subvention de Fonctionnement;33872.0;aide en numéraire;échelonné;2017-08-28;;non;1
Ville de Toulouse;21310555400017;;;CIPE CENTRE INFORMATION PETITE ENFANCE ASSOC;31281556600020;Subvention de Fonctionnement;35000.0;aide en numéraire;unique;2017-03-31;;non;1
Ville de Toulouse;21310555400017;;;CIRASTI EXPOSCIENCES EN OCCITANIE;51485526100012;Subvention de Fonctionnement;8640.0;aide en numéraire;échelonné;2017-04-13;;non;1
Ville de Toulouse;21310555400017;;;CITE LOISIRS;41479836300027;Subvention de Fonctionnement;307300.0;aide en numéraire;échelonné;2017-09-04;;non;1
Ville de Toulouse;21310555400017;;;CLAE DES OUSTALOUS ASSOC;40958474500015;Subvention de Fonctionnement;137494.39;aide en numéraire;échelonné;2017-12-31;;non;1
Ville de Toulouse;21310555400017;;;CLUB 3EME AGE ORMEAU MONTAUDRAN;50010836000016;Subvention de Fonctionnement;1000.0;aide en numéraire;unique;2017-07-10;;non;1
Ville de Toulouse;21310555400017;;;CLUB 3IEME AGE LES FEUILLES D AUTOMNE;51538465900014;Subvention de Fonctionnement;600.0;aide en numéraire;unique;2017-07-10;;non;1
Ville de Toulouse;21310555400017;;;CLUB ACTIVITES SOCIALES ET CULTURELLES 3IEME AGE PAPUS;79872112200025;Subvention de Fonctionnement;700.0;aide en numéraire;unique;2017-07-07;;non;1
Ville de Toulouse;21310555400017;;;CLUB AINES DE LARDENNE;44842030700010;Subvention de Fonctionnement;1100.0;aide en numéraire;unique;2017-07-10;;non;1
