Section liquidation;Code tiers bénéficiaire;Nom bénéficiaire;N° SIRET;Type bénéficiaire;Montant versé en 2016
Fonctionnement;20377;INSTITUT PICOT DE LAPEYROUSE ASSOC;51049122800019;Personne morale de droit privé;8640.0
Fonctionnement;20566;CRECHE PARENTALE PLUME D ANGE ASSOC;39053254700036;Personne morale de droit privé;213268.5
Fonctionnement;20617;TOULOUSE POLARS DU SUD ASSOC;50983730800014;Personne morale de droit privé;36000.0
Fonctionnement;21025;PROGRESSIVE PAROLE ASSOC;38135856300025;Personne morale de droit privé;6150.0
Fonctionnement;21081;ENTRAIDE PROTESTANTE;33938825800024;Personne morale de droit privé;4500.0
Fonctionnement;21199;PUPILLES ENSEIGNEMENT PUBLIC;77676997800094;Personne morale de droit privé;78699.0
Fonctionnement;21265;QUAD ET CIE ASSOC;45053300500010;Personne morale de droit privé;2500.0
Fonctionnement;21364;RADIO MON PAIS ASSOC;32612589500010;Personne morale de droit privé;3380.0
Fonctionnement;179;ACCOMIP ASSOC;43880203500024;Personne morale de droit privé;36700.0
Fonctionnement;443;AEGEE TOULOUSE ASSOC;51768756200010;Personne morale de droit privé;1500.0
Fonctionnement;499;FESTIVAL INTERN CINEMA ET HISTOIRE ASSOC;38994579100025;Personne morale de droit privé;57960.0
Fonctionnement;523;AFRO EVENTS ASSOC;50844780200028;Personne morale de droit privé;5200.0
Fonctionnement;570;AGIT GROUPE INTERVENTIONS THEATRALES ASSOC;37782452900038;Personne morale de droit privé;41300.0
Fonctionnement;584;AGORA;39427064900020;Personne morale de droit privé;32000.0
Fonctionnement;660;AIDONS NOUS ASSOC;42522611500011;Personne morale de droit privé;1800.0
Fonctionnement;668;INSERTION FAMILLE ORIGI MONDE JEUNES ASSOC;32971240000061;Personne morale de droit privé;158705.78
Fonctionnement;704;AIR AVENTURES ASSOC;53292464400018;Personne morale de droit privé;5000.0
Fonctionnement;785;ALI ALAOUI ARTS ET DEVELOPPEMENT ASSOC;48464019800020;Personne morale de droit privé;2000.0
Fonctionnement;959;ALLIANCES ET CULTURES;34310946800037;Personne morale de droit privé;569518.18
Fonctionnement;1026;CLUB ALPIN FRANCAISE DE TOULOUSE;52513269200019;Personne morale de droit privé;1000.0
Fonctionnement;1051;ALTER IMAGE ASSOC;48440487600050;Personne morale de droit privé;3000.0
Fonctionnement;1144;AMBITION JEUNESSE ROYAL KI ASSOC;51288525200019;Personne morale de droit privé;1900.0
Fonctionnement;1313;CLUB SENIORS PROVIDENCE BONHOURE;50890593200010;Personne morale de droit privé;1100.0
Fonctionnement;1399;COMPAGNIE ROUGES LES ANGES;42187526100032;Personne morale de droit privé;9000.0
Fonctionnement;1443;NAT POUR INTEGRATION HANDICAPES MOTEURS ASSOC;78184966600271;Personne morale de droit privé;350.0
Fonctionnement;1651;ARBRES ET PAYSAGES D AUTAN ASSOC;41406082200023;Personne morale de droit privé;1680.0
Fonctionnement;1682;ARC EN CIEL ASSOC;34890305500013;Personne morale de droit privé;86208.0
Fonctionnement;1749;AREA 96 ASSOC;41344800200027;Personne morale de droit privé;500.0
Fonctionnement;1795;TOULOUSE  ST JO FOOTBALL S C ASSOC;39296313800020;Personne morale de droit privé;67000.0
Fonctionnement;1800;ARIANA ASSOC;44875885400021;Personne morale de droit privé;4350.0
Fonctionnement;2025;ARTO ASS RAMONVILLE THEATRE OUVERT ASSOC;35288560200016;Personne morale de droit privé;17690.0
Fonctionnement;2109;SOCIALE EDUCATIVE CULTURELLE ASSOC;32409443200022;Personne morale de droit privé;10800.0
Fonctionnement;2198;TOULOUSAINE RETRAITE SPORTIVE ASSOC;44133992600012;Personne morale de droit privé;3000.0
Fonctionnement;2292;ATOLL LOISIRS FRANCE ASSOC;40304099100016;Personne morale de droit privé;227853.0
Fonctionnement;2496;AVAC  VIVRE AUTREMENT SES CONFLITS ASSOC;41752044200019;Personne morale de droit privé;4800.0
Fonctionnement;2514;AVENIR ETIENNE BILLIERES ASSOC;44115710400023;Personne morale de droit privé;5700.0
Fonctionnement;2546;AVIRON TOULOUSAIN ASSOC;34249843300024;Personne morale de droit privé;34000.0
Fonctionnement;2816;CRECHE LE BALLON;32909429600038;Personne morale de droit privé;150906.6
Fonctionnement;2863;COMPAGNIE LA BARAQUE;37927684300032;Personne morale de droit privé;23111.0
Fonctionnement;3198;BEACH VOLLEY TOULOUSAIN ASSOC;49327682800016;Personne morale de droit privé;770.0
Fonctionnement;3208;CIE BEAUDRAIN DE PAROI;34080381600057;Personne morale de droit privé;13800.0
Fonctionnement;3346;BELLEFONTAINE SERVICE REGIE DE QUARTIER;39842800300030;Personne morale de droit privé;26700.0
Fonctionnement;3728;BEST TOULOUSE ASSOC;50763021800018;Personne morale de droit privé;800.0
Fonctionnement;4479;CRECHE BOULE DE GOMME;39202119200019;Personne morale de droit privé;91520.0
Fonctionnement;4672;BOXING CLUB TOULOUSAIN ASSOC;44782854200012;Personne morale de droit privé;8200.0
Fonctionnement;5323;CANALART;49767317800040;Personne morale de droit privé;11000.0
Fonctionnement;6639;ENSEMBLE VOCAL LES PARADOUX;49242237300026;Personne morale de droit privé;750.0
